gain,0
gain,0
loss,0
gain,0
gain,0
gain,0
gain,0
loss,none
gain,0
gain,0
gain,I found the questions were repeated, but other than that it was okay! / I will watch more carefully what I snack!
loss,0
loss,0
loss,Honestly, for the made-up animal snacks, I only made my choice based on where the food was sourced from and the calorie count, and I just picked packaging since I had to have a third.
gain,0
gain,0
loss,0
loss,0
gain,0
gain,0
gain,0
loss,0
gain,0
gain,0
gain,0
loss,0
loss,Fun study, thanks!
gain,0
loss,0
loss,0
gain,0
loss,n/a thanks!
gain,0
gain,0
gain,Good luck on your dissertation Maria!
gain,0
gain,I really enjoyed this game! It was very clever and engaging. Thank you! 
loss,Love the programming. Good job w the study. Have you thought of a turning per click events from Get More info buttons...to see if your participants want to know more and determine any correlation btw this effort/interest and their performance? 
gain,0
gain,0
gain,0
loss,I was actually really hoping to get some of those items. Some of them I haven't had since I was a kid. Granted, I could buy them now, but by spending money on it, I would feel guilty. This was an interesting and fun study. I really enjoyed it!
gain,With the reasons for choosing Snackazon, I felt like I was forced to pick three reasons, when often I only had one reason or two at most (usually, calories, then fat [which was not even an option] then taste). So I put "Didn't give much thought" as my third reason, because I mean, I didn't have a third reason. /  / Also the Monster Appetite was confusing, since I didn't know the size of a serving. Obviously, if you eat a whole jar of grape jelly, it's more calories than an ounce of pretzels... Also, in some cases I ran out of time to pick three items. Not sure what happens then. Sorry if I messed things up by not making a choice on time!
loss,0
gain,0
loss,0
loss,0
gain,0
gain,0
loss,0
gain,0
loss,None
loss,This survey made me really aware of my eating habits and food choices. I will definitely try to make healthier choices in the future.
